id_inline,pull_request_review_id,pr_id,path,user_inline,user_type_inline,agent,body_inline,matched_keywords,html_url
2153757625,2937900662,3148267777,lisa/tools/ntttcp.py,Copilot,Bot,Copilot,"Added protocol_type field to TCP performance message as requested. The field is now set to TransportProtocol.Tcp, matching the pattern used in the UDP function. Commit 7e9c26f.",Add*,https://github.com/microsoft/lisa/pull/3863
2145439275,2925383679,3134306675,inference/core/workflows/core_steps/models/foundation/perception_encoder/v1.py,hansent,User,OpenAI_Codex,"looks like it does:
 - https://github.com/roboflow/inference/blob/main/inference/core/entities/requests/perception_encoder.py#L45 
 
 
Clip also does actually and block decalres input the same way:
`data: Union[Selector(kind=[IMAGE_KIND, STRING_KIND]), str]`


@PawelPeczek-Roboflow Is this the only thing that would need to be added?
```
@classmethod
def get_parameters_accepting_batches(cls) -> List[str]:
    return [""data""]
```
",Add*,https://github.com/roboflow/inference/pull/1350
2132905436,2906133773,3101464221,sdk/servicebus/azure-servicebus/TROUBLESHOOTING.md,swathipil,User,Copilot,"Remove, uncommon",Remov*,https://github.com/Azure/azure-sdk-for-python/pull/41352
2095629004,2850633230,3073705219,alpha_factory_v1/demos/aiga_meta_evolution/workflow_demo.py,Copilot,Bot,OpenAI_Codex,"The `LLM` instance is created but never passed into `AgentRuntime`. Consider initializing the runtime with the configured model, for example: `runtime = AgentRuntime(llm=LLM)` so your agent actually uses the intended OpenAI model.
```suggestion
    runtime = AgentRuntime(llm=LLM)
```",Creat*,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/361
2215998734,3033473995,3242236662,esptool/cli_util.py,peterdragun,User,Copilot,"This seems more like adapting to an issue from `OptionEatAll` than fixing the root cause. Can you try to fix the root cause of this issue?

I think we should fix the OptionEatAll custom parser - `parser_process`. We are encapsulating the value to list and then calling the original method from the click to append this new list to an already existing list. ",Encapsulat*; Fix*,https://github.com/espressif/esptool/pull/1103
2198914106,3007629845,3220896124,.github/workflows/deploy-dev.yml,greptile-apps[bot],Bot,Devin,style: This hardcoded URL should be parameterized using environment variables or workflow inputs since the deployment URL may change,Chang*,https://github.com/reflex-dev/reflex-web/pull/1486
2152925946,2936703915,3154258674,airbyte/_processors/sql/ducklake.py,aaronsteers,User,Devin,"Let's try to explicitly set the ducklake as the default DB after we attach it.

```suggestion
            connection.execute(attach_sql)
            connection.execute(f""USE {self.catalog_name}""
```

I'll commit this change. You can re-pull.",Chang*,https://github.com/airbytehq/PyAirbyte/pull/695
1956954351,2619175685,2841027811,airbyte-ci/connectors/pipelines/pipelines/airbyte_ci/connectors/publish/pipeline.py,davinchia,User,Devin,Where is the code that allows setting the manual override flag and skipping the version check on merge to master?,Merg*,https://github.com/airbytehq/airbyte/pull/53606
1919989840,2558581317,2794323375,agentops/llms/providers/gemini.py,dot-agi,User,Devin,Return type should always be `dict` and so this method requires refactoring.,Refactor*,https://github.com/AgentOps-AI/agentops/pull/650
2231138125,3055481856,3263291835,instructor/batch/providers/openai.py,ellipsis-dev[bot],Bot,Devin,"Replace print statements in the retry loop with logging to avoid direct stdout output in library code.
```suggestion
                    logger.info(
```
",Replac*,https://github.com/567-labs/instructor/pull/1747
